Повелитель мух,1954
"Мор, ученик смерти",1987
Дюна,1965
Вечера на хуторе близ Диканьки,1831
Обломов,1859
Отцы и дети,1860
Фауст,1808
Три мушкетёра,1844
Мастер и Маргарита,1966
Благие знамения,1990
Книжный вор,2005
